"Supplied Name","guid","scientificName","family","kingdom","acceptedNameUsage","Kingdom","Phylum","Class","Order","Family","TaxonRank","TaxonomicStatus"
"Nome Científico",,,,,"acceptedNameUsage","kingdom","phylum","class","order","family","taxonRank","taxonomicStatus"
"Abramites hypselonotus (Günther, 1868)","CPNT","Abramites hypselonotus (Günther, 1868)","Anostomidae",,,"Animalia","Chordata","Actinopterygii","Characiformes","Anostomidae","species","ACCEPTED"
"Acacia auriculiformis A.Cunn. ex Benth.","85CB","Acacia auriculiformis A.Cunn. ex Benth.","Fabaceae",,,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","species","ACCEPTED"
"Acacia caven (Molina) Molina","BH42","Vachellia caven (Molina) Seigler & Ebinger","Fabaceae",,"Vachellia caven (Molina) Seigler & Ebinger","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","species","SYNONYM"
"Acacia decurrens Willd.","9HL5","Acacia decurrens Willd.","Fabaceae",,,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","species","ACCEPTED"
"Acacia farnesiana (L.) Willd.","6RLQ","Vachellia farnesiana (L.) Wight & Arn.","Fabaceae",,"Vachellia farnesiana Wight & Arn.","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","species","SYNONYM"
"Acacia holosericea A.Cunn. ex G.Don","3NMP","Acacia holosericea A.Cunn. ex G.Don","Fabaceae",,,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","species","ACCEPTED"
"Acacia longifolia (Andrews) Willd.","38YW","Acacia longifolia (Andrews) Willd.","Fabaceae",,,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","species","ACCEPTED"
"Acacia mangium Willd.","7J6D","Acacia mangium Willd.","Fabaceae",,,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","species","ACCEPTED"
"Acacia mearnsii De Wild.","J3WF","Acacia mearnsii De Wild.","Fabaceae",,,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","species","ACCEPTED"
"Acacia melanoxylon R.Br.","6R3V","Acacia melanoxylon R.Br.","Fabaceae",,,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","species","ACCEPTED"
"Acacia podalyriifolia Cunn. ex Don","273719","Acacia podalyriifolia","Fabaceae",,,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","species","ACCEPTED"
"Acer negundo L.","B97F","Acer negundo L.","Sapindaceae",,,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","species","ACCEPTED"
"Achatina fulica (Férussac, 1821)","CWMT","Lissachatina fulica (Férussac, 1821)","Achatinidae",,"Lissachatina fulica (Férussac, 1821)","Animalia","Mollusca","Gastropoda","Stylommatophora","Achatinidae","species","SYNONYM"
"Achillea millefolium L.","63RY","Achillea millefolium L.","Asteraceae",,,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","species","ACCEPTED"
