"Supplied Name","guid","scientificName","family","kingdom","ScientificNameAuthorship","VernacularName","Kingdom","Phylum","Class","Order","Family","Genus","Motivo da introdução no Brasil"
"Nome Científico",,,,,"Autor","Nome Comum","kingdom","phyllum","class","order","family","genus","Motivo da introdução no Brasil"
"Abramites hypselonotus","CPNT","Abramites hypselonotus (Günther, 1868)","Anostomidae",,"(Günther, 1868)","piau-pedra, piau-tambaqui, marbled headstander","Animalia","Chordata","Actinopterygii","Characiformes","Anostomidae","Abramites","Peixes de aquário"
"Acacia angustissima","45DW","Acacia angustissima (Mill.) Kuntze","Fabaceae",,"(Mill.) Kuntze","acácia, prairie acacia","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Plantas forrageiras"
"Acacia auriculiformis","85CB","Acacia auriculiformis A.Cunn. ex Benth.","Fabaceae",,"A. Cunn. ex Benth.",,"Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Plantas ornamentais"
"Acacia holosericea",,,,,"A. Cunn. ex G. Don, 1832","acácia, candelabra wattle, wah roon, woolly wattle","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Uso florestal"
"Acacia longifolia","275379","Acacia longifolia","Fabaceae",,"(Andr.) Willd.","acácia-marítima, acácia-trinervis, salgueiro-amarelo, coast wattle, sallow wattle","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia",
"Acacia mangium","7J6D","Acacia mangium Willd.","Fabaceae",,"Willd.","acácia-australiana, forest mangrove, mangium wattle","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Uso florestal"
"Acacia mearnsii","J3WF","Acacia mearnsii De Wild.","Fabaceae",,"De Willd.","black wattle, acácia-negra, mimosa","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Uso florestal"
"Acacia podalyriifolia","273719","Acacia podalyriifolia","Fabaceae",,"A. Cunningham ex G. Don","acácia-mimosa, mount morgan wattle, pearl acacia, pearl wattle, queensland silver wattle","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Plantas ornamentais"
"Acestrorhynchus pantaneiro","4VWB","Acestrorhynchus pantaneiro Menezes, 1992","Acestrorhynchidae",,"Menezes, 1992","dourado-cachorro, peixe-cachorro","Animalia","Chordata","Actinopterygii","Characiformes","Acestrorhynchidae","Acestrorhynchus","Pesca desportiva"
"Adenanthera pavonina","268412","Adenanthera pavonina","Fabaceae",,"Linnaeus","carolina, olho-de-pavão, tento-vermelho, red-bead tree","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Adenanthera","Plantas ornamentais"
"Aedes aegypti","4CTQ","Aedes (Stegomyia) aegypti (Linnaeus, 1762)","Culicidae",,"(Linnaeus, 1762)","mosquito, mosquito-da-dengue, dengue mosquito, yellow fever mosquito","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Aedes",
"Aedes albopictus","CLJW","Aedes (Stegomyia) albopictus (Skuse, 1894)","Culicidae",,"(Skuse, 1895)","mosquito-da-dengue, forest day mosquito","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Aedes",
"Agave americana","GLPG","Agave americana L.","Asparagaceae",,"L.","agave, sisal, american aloe, century plant, maguey, sentry plant","Plantae","Magnoliophyta","Liliopsida","Asparagales","Agavaceae","Agave","Plantas forrageiras; Plantas ornamentais"
"Agave sisalana","HXVJ","Agave sisalana Perrine ex Engelm.","Asparagaceae",,"Perr.","agave, sisal, sisal hemp","Plantae","Magnoliophyta","Liliopsida","Asparagales","Agavaceae","Agave",
"Ageneiosus inermis","5HDG","Ageneiosus inermis (Linnaeus, 1766)","Auchenipteridae",,"(Linnaeus, 1766)","boca-larga, fidalgo, mandubé, manduba","Animalia","Chordata","Actinopterygii","Siluriformes","Auchenipteridae","Ageneiosus","Pesca desportiva"
"Albizia lebbeck","275172","Albizia lebbeck","Fabaceae",,"(L.) Benth.","carvoeiro, Indian siris","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Albizia","Plantas ornamentais"
"Alexandrium tamarense","F3LR","Alexandrium catenella (Whedon & Kofoid) Balech",,,"(Lebour) Balech 1992","dinoflagelado, dinoflagellate","Protista","Dinoflagellata","Dinophyceae","Gonyaulacales","Goniodomaceae","Alexandrium","Espécies marinhas"
"Amazona aestiva","J9HW","Amazona aestiva (Linnaeus, 1758)","Psittacidae",,"(Linnaeus, 1758)","acamatanga, amazona-de-fronte-azul, papagaio-verdadeiro, turquoise fronted amazon","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Amazona","Pets"
"Ammi majus","BN8D","Ammi majus L.","Apiaceae",,"L.","amio-maior, ammi, bisnaguinha-do-campo, cicuta-negra","Plantae","Magnoliophyta","Magnoliopsida","Apiales","Apiaceae","Ammi","Plantas ornamentais"
"Amphibalanus amphitrite","BCRH","Amphibalanus amphitrite (Darwin, 1854)","Balanidae",,"(Darwin, 1854)","craca, purple acorn barnacle, striped barnacle","Animalia","Arthropoda","Maxillopoda","Sessilia","Balanidae","Amphibalanus","Espécies marinhas"
"Amphibalanus reticulatus","GL49","Amphibalanus reticulatus (Utinomi, 1967)","Balanidae",,"(Utinomi, 1967)","craca, craca japonesa, barnacle","Animalia","Arthropoda","Maxillopoda","Sessilia","Balanidae","Amphibalanus","Espécies marinhas"
"Andropogon gayanus","FSPV","Andropogon gayanus Kunth","Poaceae",,"Kunth","capim-andropogon, bluestem, gamba grass","Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Andropogon","Plantas forrageiras"
"Anolis porcatus","5TMY","Anolis porcatus Gray, 1840","Dactyloidae",,"Gray, 1840","lagartixa, cuban green anole","Animalia","Chordata","Reptilia","Squamata","Iguanidae","Anolis",
"Anolis sagrei",,,,,"Cocteau in A. M. C. Duméril and Bibron, 1837","anole-marrom, anolis café, bahamas anole, brown anole, cuban brown anole","Animalia","Chordata","Reptilia","Squamata","Iguanidae","Anolis",
"Anthidium manicatum","68GD","Anthidium (Anthidium) manicatum (Linnaeus, 1758)","Megachilidae",,"(Linnaeus, 1758)","wool carder bee","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Anthidium",
"Aphyocharax anisitsi","9JY9","Aphyocharax anisitsi Eigenmann & Kennedy, 1903","Characidae",,"Eigenmann & Kennedy, 1903","enfermeirinha, piqui, piquira, bloodfin","Animalia","Chordata","Actinopterygii","Characiformes","Characidae","Aphyocharax","Peixes de aquário"
"Aphyocharax dentatus","6MVJ","Aphyocharax dentatus Eigenmann & Kennedy, 1903","Characidae",,"(Eigenmann & Kennedy, 1903)","douradinho","Animalia","Chordata","Actinopterygii","Characiformes","Characidae","Aphyocharax","Peixes de aquário"
"Apis mellifera","CLCS","Apis mellifera Linnaeus, 1758","Apidae",,"Linnaeus, 1758","abelha, abelha-africana, africanizada, oropa, abeille domestique, honey bee","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Apis",
"Apistogramma commbrae","4KT5","Apistogramma commbrae (Regan, 1906)","Cichlidae",,"(Regan, 1906)","corumba, corumba dwarf cichlid","Animalia","Chordata","Actinopterygii","Cichliformes","Cichlidae","Apistogramma","Peixes de aquário"
"Apteronotus albifrons","5663","Apteronotus albifrons (Linnaeus, 1766)","Apteronotidae",,"(Linnaeus, 1766)","ituí-cavalo, apteronotid eel, black ghost","Animalia","Chordata","Actinopterygii","Gymnotiformes","Aptenorotidae","Apteronotus","Peixes de aquário"
"Aquarana catesbeiana","GBSR","Aquarana catesbeiana (Shaw, 1802)","Ranidae",,"Dubois, 1992","rã-touro, american bullfrog, bullfrog","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","Pets"
"Arapaima gigas","260084","Arapaima gigas","Arapaimidae",,"(Schinz, 1822)","pirarucu","Animalia","Chordata","Actinopterygii","Osteoglossiformes","Osteoglossidae","Arapaima","Peixes de aquário; Peixes de aquicultura; Pesca desportiva"
"Archontophoenix cunninghamiana","645F","Archontophoenix cunninghamiana (H.Wendl.) H.Wendl. & Drude","Arecaceae",,"H. Wendl. & Drude","palmeira-australiana, palmeira-real-da-austrália, bangalow palm","Plantae","Magnoliophyta","Liliopsida","Arecales","Arecaceae","Archontophoenix",
"Ardisia crenata","9J5J","Ardisia crenata Sims","Primulaceae",,"Sims.","ardisia, australian holly, christmas berry, coral ardisia, coral bush, coralberry, coralberry tree, spiceberry","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Primulaceae","Ardisia","Plantas ornamentais"
"Aristida adscensionis","35Z","Aristida adscensionis L.","Poaceae",,"L.","capim-panasco, prairie three-awn, six-weeks three-awn","Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Aristida","Plantas forrageiras"
"Artocarpus altilis","77HZ","Artocarpus altilis (Parkinson) Fosberg","Moraceae",,"(Parkinson) Fosberg","fruta-pão, breadfruit, fruta de pan","Plantae","Magnoliophyta","Magnoliopsida","Urticales","Moraceae","Artocarpus","Plantas ornamentais"
"Artocarpus heterophyllus","DTMK","Artocarpus heterophyllus Lam.","Moraceae",,"Lam.","jaca, jaqueira, jackfruit","Plantae","Magnoliophyta","Magnoliopsida","Urticales","Moraceae","Artocarpus",
"Arundo donax","4RN4","Arundo donax L.","Poaceae",,"L.","cana-brava, cana-do-reino, taquara-do-reino, giant reed","Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Arundo",
"Ascidia sydneiensis","4SR4","Ascidia sydneiensis Stimpson, 1855","Ascidiidae",,"(Stimpson, 1855)","ascidia","Animalia","Chordata","Ascidiacea","Enterogona","Ascidiidae","Ascidia","Espécies marinhas"
"Asparagus setaceus","G7MR","Asparagus setaceus (Kunth) Jessop","Asparagaceae",,"(Kunth) Jessop","aspargo-plumoso, aspargo-samambaia, asparguinho-de-jardim, plumosa, asparagus","Plantae","Magnoliophyta","Liliopsida","Asparagales","Asparagaceae","Asparagus",
"Asparagus sprengeri","F3TM","Asparagus densiflorus (Kunth) Jessop","Asparagaceae",,"Regel","alfinete, aspargo-ornamental, asparagus fern, basket asparagus, espárrago espinoso","Plantae","Magnoliophyta","Liliopsida","Asparagales","Asparagaceae","Asparagus","Plantas ornamentais"
"Astronotus crassipinnis","F4QD","Astronotus crassipinnis (Heckel, 1840)","Cichlidae",,"(Heckel, 1840)","acará-açu, apaiari","Animalia","Chordata","Actinopterygii","Cichliformes","Cichlidae","Astronotus","Peixes de aquário"
"Astronotus ocellatus","74LY","Astronotus ocellatus (Agassiz, 1831)","Cichlidae",,"(Agassiz, 1831)","acaraçu, apaiari, oscar","Animalia","Chordata","Actinopterygii","Cichliformes","Cichlidae","Astronotus","Peixes de aquário; Peixes de aquicultura; Pesca desportiva"
"Astyanax lacustris","8P5Q","Astyanax lacustris (Lütken, 1875)","Acestrorhamphidae",,"(Lütken, 1865)","lambari, lambari-do-rabo-amarelo, tambiú","Animalia","Chordata","Actinopterygii","Characiformes","Characidae","Astyanax","Pesca desportiva"
"Asystasia gangetica","FV4G","Asystasia gangetica (L.) T.Anderson","Acanthaceae",,"(L.) T. Anderson","asistásia, coromandel, chinese violet, creeping foxglove","Plantae","Magnoliophyta","Magnoliopsida","Scrophulariales","Acanthaceae","Asystasia","Plantas ornamentais"
