"Supplied Name","guid","scientificName","family","kingdom","genus","specificEpithet","scientificNameAuthorship","behavior","establishmentMeans","locality","country","infraspecificEpithet"
"Abrus precatorius","285570","Abrus precatorius","Fabaceae",,"Abrus","precatorius","L.","Trepadeira","Exôtica","Área De Proteção Ambiental Anhatomirim","Brasil",
"Artocarpus heterophyllus","DTMK","Artocarpus heterophyllus Lam.","Moraceae",,"Artocarpus","heterophyllus","Lam.","Árvore","Exôtica","Área De Proteção Ambiental Anhatomirim","Brasil",
"Casuarina equisetifolia","GN3L","Casuarina equisetifolia L.","Casuarinaceae",,"Casuarina","equisetifolia","L.","Árvore","Exôtica","Área De Proteção Ambiental Anhatomirim","Brasil",
"Eriobotrya japonica","B7MF","Eriobotrya japonica (Thunb.) Lindl.","Rosaceae",,"Eriobotrya","japonica","(Thunb.) Lindl.","Árvore","Exôtica","Área De Proteção Ambiental Anhatomirim","Brasil",
"Furcraea foetida","7PG6","Furcraea foetida (L.) Haw.","Asparagaceae",,"Furcraea","foetida","(L.) Haw.","Arbusto e herbácea","Exôtica","Área De Proteção Ambiental Anhatomirim","Brasil",
"Hedychium coronarium","3D3Y","Hedychium coronarium J.Koenig","Zingiberaceae",,"Hedychium","coronarium","J. König","Arbusto e herbácea","Exôtica","Área De Proteção Ambiental Anhatomirim","Brasil",
"Hovenia dulcis","3N36","Hovenia dulcis Thunb.","Rhamnaceae",,"Hovenia","dulcis","Thunb.","Árvore","Exôtica","Área De Proteção Ambiental Anhatomirim","Brasil",
"Hyparrhenia rufa","6SW2","Hyparrhenia rufa (Nees) Stapf","Poaceae",,"Hyparrhenia","rufa","(Nees) Stapf","Gramínea","Exôtica","Área De Proteção Ambiental Anhatomirim","Brasil",
"Leucaena leucocephala","8BRC","Leucaena leucocephala (Lam.) de Wit","Fabaceae",,"Leucaena","leucocephala","(Lam.) de Wit","Árvore","Exôtica","Área De Proteção Ambiental Anhatomirim","Brasil",
"Livistona chinensis","G4G7","Livistona chinensis (Jacq.) R.Br. ex Mart.","Arecaceae",,"Livistona","chinensis","(Jacq.) R. Br.","Palmeira","Exôtica","Área De Proteção Ambiental Anhatomirim","Brasil",
"Megathyrsus maximus","3ST","Megathyrsus maximus (Jacq.) B.K.Simon & S.W.L.Jacobs","Poaceae",,"Megathyrsus","maximus","(Jacq.) B.K. Simon & S.W.L. Jacobs","Gramínea","Exôtica","Área De Proteção Ambiental Anhatomirim","Brasil",
"Melinis minutiflora","5XV3","Melinis minutiflora P.Beauv.","Poaceae",,"Melinis","minutiflora","P. Beauv.","Gramínea","Exôtica","Área De Proteção Ambiental Anhatomirim","Brasil",
"Momordica charantia","4VRJ","Momordica charantia L.","Cucurbitaceae",,"Momordica","charantia","L.","Trepadeira","Exôtica","Área De Proteção Ambiental Anhatomirim","Brasil",
"Terminalia catappa","523F","Terminalia catappa L.","Combretaceae",,"Terminalia","catappa","L.","Árvore","Exôtica","Área De Proteção Ambiental Anhatomirim","Brasil",
"Ulex europaeus","9SYJ","Ulex europaeus L.","Fabaceae",,"Ulex","europaeus","L.","Arbusto e herbácea","Exôtica","Área De Proteção Ambiental Anhatomirim","Brasil",
"Agave americana","GLPG","Agave americana L.","Asparagaceae",,"Agave","americana","L.","Arbusto e herbácea","Exôtica","Área De Proteção Ambiental Da Barra Do Rio Mamanguape","Brasil",
"Melinis minutiflora","5XV3","Melinis minutiflora P.Beauv.","Poaceae",,"Melinis","minutiflora","P. Beauv.","Gramínea","Exôtica","Área De Proteção Ambiental Da Bacia Do Rio Descoberto","Brasil",
